,Close
2024-03-08,95.73
2024-03-09,95.73
2024-03-10,95.73
2024-03-11,95.68
2024-03-12,94.88
2024-03-13,94.42
2024-03-14,92.97
2024-03-15,92.94
2024-03-16,92.94
2024-03-17,92.94
2024-03-18,92.66
2024-03-19,92.92
2024-03-20,92.89
2024-03-21,93.09
2024-03-22,93.98
2024-03-23,93.98
2024-03-24,93.98
2024-03-25,93.51
2024-03-26,93.77
2024-03-27,94.7
2024-03-28,94.62
2024-03-29,94.62
2024-03-30,94.62
2024-03-31,94.62
2024-04-01,92.55
2024-04-02,92.04
2024-04-03,92.02
2024-04-04,92.68
2024-04-05,91.39
2024-04-06,91.39
2024-04-07,91.39
2024-04-08,91.38
2024-04-09,92.23
2024-04-10,90.22
2024-04-11,89.81
2024-04-12,90.29
2024-04-13,90.29
2024-04-14,90.29
2024-04-15,88.89
2024-04-16,88.3
2024-04-17,89.28
2024-04-18,88.83
2024-04-19,89.15
2024-04-20,89.15
2024-04-21,89.15
2024-04-22,89.0
2024-04-23,89.03
2024-04-24,88.4
2024-04-25,87.78
2024-04-26,88.24
2024-04-27,88.24
2024-04-28,88.24
2024-04-29,88.98
2024-04-30,88.22
2024-05-01,88.56
2024-05-02,88.94
2024-05-03,89.84
2024-05-04,89.84
2024-05-05,89.84
2024-05-06,90.19
2024-05-07,90.74
2024-05-08,90.19
2024-05-09,90.63
2024-05-10,90.12
2024-05-11,90.12
2024-05-12,90.12
2024-05-13,90.35
2024-05-14,90.86
2024-05-15,92.1
2024-05-16,92.01
2024-05-17,91.39
2024-05-18,91.39
2024-05-19,91.39
2024-05-20,91.12
2024-05-21,91.59
2024-05-22,91.7
2024-05-23,91.11
2024-05-24,91.38
2024-05-25,91.38
2024-05-26,91.38
2024-05-27,91.38
2024-05-28,90.07
2024-05-29,88.98
2024-05-30,89.84
2024-05-31,90.45
2024-06-01,90.45
2024-06-02,90.45
2024-06-03,91.6
2024-06-04,92.67
2024-06-05,93.35
2024-06-06,93.21
2024-06-07,91.5
2024-06-08,91.5
2024-06-09,91.5
2024-06-10,90.89
2024-06-11,91.83
2024-06-12,92.52
2024-06-13,93.88
2024-06-14,94.67
2024-06-15,94.67
2024-06-16,94.67
2024-06-17,93.73
2024-06-18,94.59
2024-06-19,94.59
2024-06-20,93.96
2024-06-21,93.96
2024-06-22,93.96
2024-06-23,93.96
2024-06-24,94.34
2024-06-25,94.5
2024-06-26,93.15
2024-06-27,93.52
2024-06-28,91.78
2024-06-29,91.78
2024-06-30,91.78
2024-07-01,89.91
2024-07-02,90.61
2024-07-03,91.8
2024-07-04,91.8
2024-07-05,92.56
2024-07-06,92.56
2024-07-07,92.56
2024-07-08,92.76
2024-07-09,92.35
2024-07-10,92.64
2024-07-11,93.54
2024-07-12,93.94
2024-07-13,93.94
2024-07-14,93.94
2024-07-15,92.86
2024-07-16,94.17
2024-07-17,94.19
2024-07-18,93.47
2024-07-19,92.92
2024-07-20,92.92
2024-07-21,92.92
2024-07-22,92.65
2024-07-23,92.52
2024-07-24,91.52
2024-07-25,92.27
2024-07-26,92.99
2024-07-27,92.99
2024-07-28,92.99
2024-07-29,93.49
2024-07-30,93.85
2024-07-31,94.81
2024-08-01,95.31
2024-08-02,98.28
2024-08-03,98.28
2024-08-04,98.28
2024-08-05,98.8
2024-08-06,96.59
2024-08-07,95.91
2024-08-08,95.32
2024-08-09,96.26
2024-08-10,96.26
2024-08-11,96.26
2024-08-12,96.61
2024-08-13,97.28
2024-08-14,97.89
2024-08-15,97.1
2024-08-16,97.44
2024-08-17,97.44
2024-08-18,97.44
2024-08-19,97.89
2024-08-20,98.67
2024-08-21,98.73
2024-08-22,97.75
2024-08-23,98.39
2024-08-24,98.39
2024-08-25,98.39
2024-08-26,98.14
2024-08-27,97.97
2024-08-28,97.85
2024-08-29,97.53
2024-08-30,96.49
2024-08-31,96.49
2024-09-01,96.49
2024-09-02,96.49
